FileName,ClassName,Category,Type,HasExampleMethod,FilePath
BeneficiarySearchFilterResponse.cs,BeneficiarySearchFilterResponse,Beneficiaries,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Beneficiaries/BeneficiarySearchFilterResponse.cs
BeneficiaryTypeDto.cs,BeneficiaryTypeDto,BeneficiaryInquiry,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/BeneficiaryInquiry/BeneficiaryTypeDto.cs
BeneficiaryTypeResponseDto.cs,BeneficiaryTypeResponseDto,Root,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/BeneficiaryTypeResponseDto.cs
BeneficiaryTypesResponseDto.cs,BeneficiaryTypesResponseDto,BeneficiaryInquiry,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/BeneficiaryInquiry/BeneficiaryTypesResponseDto.cs
BreakdownByStoreTotals.cs,BreakdownByStoreTotals,YearEnd,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/BreakdownByStoreTotals.cs
CalendarResponseDto.cs,CalendarResponseDto,Root,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/CalendarResponseDto.cs
CertificateReprintResponse.cs,CertificateReprintResponse,Root,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/CertificateReprintResponse.cs
CheckRunStepStatus.cs,CheckRunStepStatus,CheckRun,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/CheckRun/CheckRunStepStatus.cs
CheckRunWorkflowResponse.cs,CheckRunWorkflowResponse,CheckRun,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/CheckRun/CheckRunWorkflowResponse.cs
ChecksumValidationResponse.cs,ChecksumValidationResponse,Validation,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Validation/ChecksumValidationResponse.cs
ClearAuditResponse.cs,ClearAuditResponse,ItOperations,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/ItOperations/ClearAuditResponse.cs
CommentTypeDto.cs,CommentTypeDto,Administration,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Administration/CommentTypeDto.cs
CommentTypeResponse.cs,CommentTypeResponse,Lookup,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Lookup/CommentTypeResponse.cs
ContactInfoResponseDto.cs,ContactInfoResponseDto,Root,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/ContactInfoResponseDto.cs
ContributionsByAge.cs,ContributionsByAge,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/ContributionsByAge.cs
ContributionsByAgeDetail.cs,ContributionsByAgeDetail,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/ContributionsByAgeDetail.cs
CreateBeneficiaryContactResponse.cs,CreateBeneficiaryContactResponse,BeneficiaryInquiry,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/BeneficiaryInquiry/CreateBeneficiaryContactResponse.cs
CreateBeneficiaryResponse.cs,CreateBeneficiaryResponse,BeneficiaryInquiry,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/BeneficiaryInquiry/CreateBeneficiaryResponse.cs
CreateOrUpdateDistributionResponse.cs,CreateOrUpdateDistributionResponse,Distributions,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Distributions/CreateOrUpdateDistributionResponse.cs
CrossReferenceValidation.cs,CrossReferenceValidation,Validation,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Validation/CrossReferenceValidation.cs
CrossReferenceValidationGroup.cs,CrossReferenceValidationGroup,Validation,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Validation/CrossReferenceValidationGroup.cs
